s_m,sfov_m
892.7067408930334,800.7467963564754
904.3003349306052,812.3353267714791
915.8939289681771,824.3282347428507
927.4875230057489,835.5125296933362
939.0811170433208,847.1010877769043
950.6747110808926,858.6896145974207
962.2683051184645,870.2781395080058
973.8618991560363,882.2580803557182
985.4554931936083,893.4553768582343
997.0490872311801,905.044127073337
1008.642681268752,916.6293959735685
1020.2362753063238,928.0648790949248
1031.8298693438958,940.0659621702695
1043.4234633814676,951.4228819173504
1055.0170574190395,963.1903922931691
1066.6106514566113,974.450288921098
1078.2042454941832,986.1867694609862
1089.797839531755,998.1930745558906
1101.3914335693269,1009.3950504907501
1112.9850276068987,1021.0218235458299
1124.5786216444706,1032.5791063337217
1136.1722156820424,1044.1712470915559
1147.7658097196143,1056.1510288834202
1159.359403757186,1067.3553182538212
1170.952997794758,1079.3391585548293
1182.5465918323298,1090.5481351778467
1194.1401858699016,1102.1578628621867
1205.7337799074735,1113.742550917618
1217.3273739450456,1125.351318912665
1228.9209679826174,1137.3321863006847
1240.5145620201893,1148.5169842980245
1252.108156057761,1160.1029980680717
1263.701750095333,1171.6932174071728
1275.2953441329048,1183.2843407291693
1286.8889381704766,1195.2582492806894
1298.4825322080485,1206.4676936262676
1310.0761262456203,1218.0593782693122
1321.6697202831922,1229.652739477069
1333.263314320764,1241.2473091892045
1344.8569083583359,1253.2232118324214
1356.4505023959077,1264.4364828327011
1368.0440964334796,1276.030999471286
1379.6376904710514,1287.6269607879121
1391.2312845086235,1299.2250464876374
1402.8248785461954,1311.194600958238
1414.4184725837672,1322.3993328393915
1426.012066621339,1334.0181610756915
1437.605660658911,1345.6222892170742
1449.1992546964827,1357.2169803370423
1460.7928487340546,1369.200173430176
1472.3864427716264,1380.3934287859352
1483.9800368091983,1392.0118842586824
1495.5736308467701,1403.5775180975988
1507.167224884342,1415.1842458518654
1518.7608189219138,1427.1688621988117
1530.3544129594857,1438.3493282586376
1541.9480069970575,1450.0082466884676
1553.5416010346294,1461.5695241347469
1565.1351950722012,1473.1753962462617
1576.728789109773,1484.763260067133
1588.3223831473451,1496.3416339762532
1599.915977184917,1508.3423570567068
1611.5095712224888,1519.536800550798
1623.1031652600607,1531.121481189356
1634.6967592976325,1542.7196659433505
1646.2903533352044,1554.2542313487065
1657.8839473727762,1566.2767609061755
1669.477541410348,1577.46400272266
1681.07113544792,1589.0904636932087
1692.6647294854918,1600.6640420959948
1704.2583235230636,1612.2465569549624
1715.8519175606355,1624.1522682620987
1727.4455115982073,1635.3764982940952
1739.0391056357792,1647.0147826156424
1750.632699673351,1658.643092078556
1762.226293710923,1670.232461661005
1773.819887748495,1682.2122651606085
1785.4134817860668,1693.4192888430368
