s,v,beta,omega,n,xi,delta,F_dr
4542.0,19.919807282871407,0.36105162716161665,-0.10956188199030154,1.6130024608753024,-0.3341941142061438,0.04993234752393833,419.2533025778496
4545.0,19.9376309413089,0.37675675850664714,-0.11009424643088768,1.693596707319609,-0.3504789459777062,0.04639751357108761,417.9091168268549
4548.0,19.95495732374762,0.3924981338435069,-0.11061673441928206,1.7724506291078248,-0.36682755956076707,0.042365369475017185,416.53353142099706
4551.0,19.971773772048962,0.4082751453788596,-0.11112931568067003,1.8494815962177216,-0.3832386540619216,0.03808025485280482,415.1304562647999
4554.0,19.988068362769866,0.4240871902198965,-0.11163206130129458,1.9246090647554368,-0.3997109865345341,0.034423130181809224,413.70045725037386
4557.0,20.003829694021707,0.43993368301549013,-0.11212527950237865,1.9977544133418796,-0.4162434692786501,0.03353151057384725,412.23471150029616
4560.0,20.01904616480046,0.45581410097428465,-0.11260975743791733,2.0688405395969376,-0.4328349873888777,0.026140250352225423,410.7768655180693
4563.0,20.03370873509737,0.4717280931603301,-0.11308402341830114,2.1377921286764785,-0.44948448728238183,0.024603660204835724,409.2933057627543
4566.0,20.047808164831864,0.48767500308692285,-0.11354952738769768,2.2045359766527017,-0.4661908023533472,0.023161988944479475,407.78044001283183
4569.0,20.061333440358336,0.503654517532672,-0.11400630480278379,2.2690004116041758,-0.48295310034142186,0.02185477975292393,406.2392759517956
4572.0,20.0742739091692,0.519666351926657,-0.11445438782161337,2.331115327195268,-0.4997705241439353,0.020685283806218466,404.6708588387021
4575.0,20.086619276589758,0.5357102521792728,-0.11489379775970368,2.3908123513354114,-0.5166420117904315,0.01964335084949101,403.07642794676866
4578.0,20.098359620303924,0.5517859890315948,-0.11532454359320156,2.448025537818134,-0.5335665855126337,0.018716497843797503,401.4573517680536
4581.0,20.109485399764242,0.5678933513812623,-0.11574662286175504,2.502691174159628,-0.5505436455759415,0.01789288686161971,399.81496041540385
4584.0,20.11998745537581,0.5840321504746206,-0.11616002302776741,2.554746725140728,-0.5675724552136366,0.01716175891298614,398.1508214707389
4587.0,20.129857032659007,0.6002022199647318,-0.1165647227252623,2.6041313185866497,-0.5846519388269892,0.016513312735875998,396.4664665233321
4590.0,20.1390857700353,0.616403406957965,-0.1169606928060374,2.6507868048309544,-0.6017812123485032,0.01593851788236446,394.7636165294596
4593.0,20.147665714262843,0.6326355689674592,-0.11734789723464008,2.6946572219836695,-0.6189595961657339,0.015428927015725577,393.04397096323856
4596.0,20.155589315661484,0.6488985766207885,-0.11772629384774023,2.7356882261597475,-0.6361862981585404,0.014976490536169309,391.3093837480614
4599.0,20.162849437055836,0.6651923101611098,-0.11809583497860184,2.7738274650091514,-0.6534604716581229,0.014573368075649094,389.5617176836138
4602.0,20.16943934694215,0.6815166558946392,-0.11845646797588577,2.8090247655957987,-0.6707813165023218,0.01421170633819672,387.80292806498545
4605.0,20.175352721262794,0.6978715045448214,-0.11880813563433829,2.8412320137610507,-0.6881480413156499,0.013883301846923676,386.03498968841257
4608.0,20.18058363694801,0.7142567497081304,-0.1191507765354072,2.8704031407850694,-0.7055598467743507,0.013578949216142503,384.2599051858114
4611.0,20.185126565425815,0.730672286168877,-0.1194843252840833,2.896494154978014,-0.7230159262966167,0.013287039610851347,382.47972971135454
4614.0,20.188976367654714,0.7471180088231117,-0.11980871259785997,2.9194631669146465,-0.7405154329869335,0.012990989725097534,380.6964643820882
4617.0,20.1921282779036,0.7635938113860458,-0.12012386518266249,2.9392705090543676,-0.7580575017947576,0.012669101020489851,378.9121052180923
4620.0,20.194577891860476,0.7800995840829114,-0.12042970565245065,2.9558787842974548,-0.7756413333882877,0.012311914095513235,377.12857142065667
4623.0,20.196321152270215,0.7966352138934701,-0.12072615384315982,2.969252658983646,-0.793266149580586,0.010559201298226573,375.34768052480564
4626.0,20.197354058284787,0.8132006050706305,-0.12101302697341672,2.979358790153268,-0.8109311106620946,0.005328758938958747,373.57107020923803
4629.0,20.197672519356612,0.8297956739005367,-0.12129000318213429,2.986166060325881,-0.8286353744523557,0.003802425559462086,371.80000803185936
4632.0,20.197274131948564,0.8464202022626711,-0.12155728122607969,2.989645620628103,-0.8463780679334637,0.0026294362872886106,370.03564709154637
4635.0,20.19615606483951,0.8630740641979326,-0.12181480374598005,2.989770579658135,-0.864158216609135,0.0016324560406386452,368.2792909845212
4638.0,20.19431570021501,0.879757143570313,-0.1220624963968685,2.9865165824205335,-0.8819748010739187,0.0007511673255217815,366.53523038855684
4641.0,20.191750884645646,0.8964693147246846,-0.12230027707787448,2.9798619747727715,-0.8998269310708598,-4.5228902531808235e-05,364.82003509514067
4644.0,20.188460856850753,0.9132103846957091,-0.12252805835290097,2.969787388209832,-0.91771376386538,-0.0007715496321881427,363.13798429906325
4647.0,20.184445213692324,0.9299801516444715,-0.12274574866517206,2.956275394338925,-0.9356343821120171,-0.001445832062352529,361.4674582133599
4650.0,20.179701960958155,0.9467785346971161,-0.1229532522820929,2.93931070053718,-0.9535877653112017,-0.0020781959594747914,359.80650247999847
4653.0,20.17422907510738,0.96360548537741,-0.12315046982019863,2.9188808209864074,-0.9715727691346304,-0.002676819426286448,358.1536903458471
4656.0,20.16802455223956,0.9804609872545644,-0.12333729835068506,2.894976545375604,-0.9895881756255996,-0.0032486457935524534,356.5080794584361
4659.0,20.16108645115642,0.9973450534954691,-0.12351363142227716,2.8675922614215743,-1.007632913309425,-0.0037998428503888005,354.86888862385905
4662.0,20.153412909301395,1.014257730936583,-0.12367935903940881,2.8367256047571145,-1.0257059875577763,-0.0043361418167894815,353.2362433024274
4665.0,20.14500220314808,1.0311991055348888,-0.12383436764871619,2.802377317854595,-1.0438060772870807,-0.00486311895149994,351.6115301995241
4668.0,20.135852826904525,1.048169296330022,-0.12397854005028992,2.7645523503786382,-1.061931711428581,-0.005386458701865484,349.9941463808446
4671.0,20.12596336089083,1.0651684639837962,-0.1241117552579713,2.72326042214216,-1.0800816290808168,-0.005912234630005687,348.3794558750652
4674.0,20.11533222888737,1.082196841939966,-0.1242338883486064,2.678515508816564,-1.0982544809112467,-0.006447235386561245,346.766371506345
4677.0,20.103957934336588,1.0992547249252829,-0.12434481027667504,2.6303363195607496,-1.1164486724529998,-0.00699937509671581,345.1537616119702
4680.0,20.09183906643274,1.1163424687821466,-0.12444438765027734,2.5787472293952654,-1.1346626509152267,-0.0075782495049024415,343.5407167906853
4683.0,20.078974317640313,1.133460495687712,-0.12453248248729755,2.5237783348849923,-1.152894800157611,-0.008195905997341282,341.9263247071432
