s_m,sfov_m
1530.3544129594857,1519.0
1541.9480069970575,1530.5
1553.5416010346294,1542.0
1565.1351950722012,1554.0
1576.728789109773,1565.5
1588.3223831473451,1577.0
1599.915977184917,1588.5
1611.5095712224888,1600.0
1623.1031652600607,1612.0
1634.6967592976325,1623.5
1646.2903533352044,1635.0
1657.8839473727762,1646.5
1669.477541410348,1658.0
1681.07113544792,1669.5
1692.6647294854918,1681.5
1704.2583235230636,1693.0
1715.8519175606355,1704.5
1727.4455115982073,1716.0
1739.0391056357792,1727.5
1750.632699673351,1739.5
1762.226293710923,1751.0
1773.819887748495,1762.5
1785.4134817860668,1774.0
1797.0070758236386,1785.5
1808.6006698612105,1797.5
1820.1942638987823,1809.0
1831.7878579363542,1820.5
1843.381451973926,2131.787857936354
1854.9750460114979,2143.3814519739262
1866.5686400490697,1867.0
1878.1622340866415,1867.0
1889.7558281242134,1878.5
1901.3494221617852,1890.0
1912.943016199357,1901.5
1924.536610236929,1913.0
1936.1302042745008,2224.536610236929
1947.7237983120726,1948.0
1959.3173923496447,1948.0
1970.9109863872166,1959.5
1982.5045804247884,1971.0
1994.0981744623602,1983.0
2005.691768499932,1994.5
2017.285362537504,2006.0
2028.8789565750758,2017.5
2040.4725506126476,2029.0
2052.0661446502195,2040.5
2063.6597386877916,2052.5
2075.253332725363,2064.0
2086.8469267629353,2075.5
2098.440520800507,2087.0
2110.034114838079,2098.5
2121.6277088756506,2110.5
2133.2213029132226,2122.0
2144.8148969507943,2133.5
2156.4084909883663,2145.0
2168.002085025938,2156.5
2179.59567906351,2168.5
2191.1892731010817,2180.0
2202.7828671386537,2191.5
2214.3764611762253,2203.0
2225.9700552137974,2214.5
2237.5636492513695,2226.0
2249.157243288941,2238.0
2260.750837326513,2249.5
2272.344431364085,2261.0
2283.938025401657,2272.5
2295.5316194392285,2284.0
2307.1252134768006,2296.0
2318.718807514372,2307.5
2330.3124015519443,2319.0
2341.905995589516,2342.0
2353.499589627088,2342.0
2365.0931836646596,2353.5
2376.6867777022317,2365.5
2388.2803717398033,2377.0
2399.8739657773754,2388.5
2411.467559814947,2699.8739657773754
2423.061153852519,2423.5
2434.654747890091,2423.5
2446.2483419276628,2435.0
2457.841935965235,2458.0
2469.4355300028064,2458.0
2481.0291240403785,2469.5
2492.62271807795,2481.5
2504.216312115522,2493.0
2515.809906153094,2504.5
2527.403500190666,2516.0
2538.9970942282375,2527.5
2550.5906882658096,2539.0
2562.184282303381,2551.0
2573.7778763409533,2562.5
2585.371470378525,2574.0
2596.965064416097,2585.5
2608.558658453669,2597.0
2620.1522524912407,2609.0
2631.7458465288128,2620.5
2643.3394405663844,2632.0
2654.9330346039565,2643.5
2666.526628641528,2655.0
2678.1202226791,2667.0
2689.7138167166718,2678.5
2701.307410754244,2690.0
2712.9010047918155,2701.5
2724.4945988293875,2713.0
2736.088192866959,2724.5
2747.6817869045312,2736.5
2759.275380942103,3047.6817869045312
2770.868974979675,2771.0
2782.462569017247,2771.0
2794.0561630548186,2782.5
2805.6497570923907,2794.5
2817.2433511299623,2806.0
2828.8369451675344,2829.0
2840.430539205106,2829.0
2852.024133242678,2840.5
2863.6177272802497,2852.5
2875.211321317822,2864.0
2886.8049153553934,2875.5
2898.3985093929655,2887.0
2909.992103430537,2898.5
2921.585697468109,2910.0
2933.179291505681,2922.0
2944.772885543253,2933.5
2956.3664795808245,2945.0
2967.9600736183966,2956.5
2979.5536676559686,2968.0
2991.1472616935403,3279.5536676559686
3002.7408557311123,3291.1472616935403
3014.334449768684,3302.7408557311123
3025.928043806256,3314.334449768684
3037.5216378438276,3325.928043806256
3049.1152318813997,3337.5216378438276
3060.7088259189713,3349.1152318813997
3072.3024199565434,3360.7088259189713
3083.896013994115,3372.3024199565434
3095.489608031687,3383.896013994115
3107.0832020692587,3395.489608031687
3118.676796106831,3407.0832020692587
3130.2703901444024,3418.676796106831
3141.8639841819745,3142.0
3153.457578219546,3142.0
3165.051172257118,3153.5
3176.6447662946903,3165.5
3188.238360332262,3188.5
3199.831954369834,3188.5
3211.4255484074056,3200.0
3223.0191424449777,3211.5
3234.6127364825493,3223.5
3246.2063305201214,3235.0
3257.799924557693,3246.5
3269.393518595265,3258.0
3280.9871126328367,3269.5
3292.5807066704087,3281.0
3304.1743007079804,3293.0
3315.7678947455524,3304.5
3327.361488783124,3316.0
3338.955082820696,3327.5
3350.548676858268,3339.0
3362.14227089584,3351.0
